"code","site_name","sample_size","latitude","longitude","slim_x","slim_y"
1,"Conness Lake",32,37.94329,-119.28616,62.3801745906516,215.198439653732
2,"Kuna Lake",0,37.84874,-119.25929,64.824896562298,204.703908743529
3,"Donohue Pass",16,37.75289,-119.24847,65.8622401697597,194.065257405627
4,"Lyell Peak",16,37.74956,-119.25991,64.856988915109,193.695654797117
5,"Ritter Range",8,37.71442,-119.20355,69.8569772425279,189.795416607275
6,"Ottoway Lake",0,37.63967,-119.39713,52.8417529288017,181.498886126979
7,"Recess Lakes",3,37.43124,-118.78462,107.199471565611,158.365718774499
8,"Ruby Lake",16,37.41155,-118.77399,108.168594954582,156.180413161877
9,"Italy Lake",10,37.34084,-118.76735,108.858564924374,148.332684581251
10,"Selden Pass",14,37.28632,-118.88537,98.4717731879151,142.281862598546
11,"Piute Pass",22,37.23683,-118.679944,116.764295066516,136.789336141719
12,"Lamarck Lakes",17,37.20853,-118.65117,119.362077920258,133.648550624559
13,"Hungry Packer Lake",11,37.16094,-118.64077,120.360738081707,128.366959705455
14,"Treasure Lake",9,37.14502,-118.58003,125.782114757601,126.6001499609
15,"Sam Mack Lake",14,37.11192,-118.51174,131.906415816183,122.926710253633
16,"Dusy Pass",2,37.09534,-118.53421,129.937636404326,121.086668726456
17,"Taboose Pass",9,36.97993,-118.39877,142.192965958596,108.278657604322
18,"Sixty Lakes",4,36.82479,-118.43382,139.354236315671,91.0618699125275
19,"Sphinx  Lakes",2,36.71427,-118.51487,132.313319722376,78.7970976921692
20,"Milly's Footpass",12,36.69039,-118.43453,139.534120293758,76.1470846122795
21,"North Forester",4,36.68882,-118.37648,144.724886287966,75.9728588324463
22,"South Forester",16,36.63116,-118.34489,147.658165082271,69.5742547600948
23,"Wright Lakes",12,36.59707,-118.6658,119.009294467769,65.7912729836044
24,"Pear Lake",12,36.59707,-118.6658,119.009294467769,65.7912729836044
25,"Crabtree Lakes",14,36.54445,-118.32363,149.726977747617,59.9520518102464
26,"Monarch Lake",6,36.41429,-118.54783,129.869825244374,45.5084684460107
27,"Army Pass",38,36.50159,-118.24711,156.664692942048,55.1959322501973
